Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 0 | Experience: 0.54
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 20 | Experience: 0.75
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 21 | Experience: 0.76
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 22 | Experience: 0.77
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 23 | Experience: 0.78
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 24 | Experience: 0.8
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 25 | Experience: 0.81
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 26 | Experience: 0.82
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 27 | Experience: 0.83
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 28 | Experience: 0.84
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 29 | Experience: 0.85
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 1 | Clone: 30 | Experience: 0.86
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 0 | Experience: 0.54
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 1 | Experience: 0.55
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 2 | Experience: 0.56
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 3 | Experience: 0.57
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 4 | Experience: 0.58
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 5 | Experience: 0.59
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 6 | Experience: 0.6
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 7 | Experience: 0.61
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 8 | Experience: 0.63
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 9 | Experience: 0.64
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 10 | Experience: 0.65
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 11 | Experience: 0.66
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 12 | Experience: 0.67
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 13 | Experience: 0.68
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 14 | Experience: 0.69
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 15 | Experience: 0.7
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 16 | Experience: 0.71
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 17 | Experience: 0.72
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 18 | Experience: 0.73
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 19 | Experience: 0.74
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 20 | Experience: 0.75
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 21 | Experience: 0.77
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 22 | Experience: 0.78
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 23 | Experience: 0.79
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 24 | Experience: 0.8
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 25 | Experience: 0.81
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 26 | Experience: 0.82
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 27 | Experience: 0.83
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 28 | Experience: 0.84
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 29 | Experience: 0.85
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 2 | Clone: 30 | Experience: 0.86
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 0 | Experience: 0.54
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 1 | Experience: 0.55
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 2 | Experience: 0.56
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 3 | Experience: 0.57
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 4 | Experience: 0.58
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 5 | Experience: 0.6
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 6 | Experience: 0.61
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 7 | Experience: 0.62
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 8 | Experience: 0.63
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 9 | Experience: 0.64
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 10 | Experience: 0.65
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 11 | Experience: 0.66
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 12 | Experience: 0.67
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 13 | Experience: 0.68
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 14 | Experience: 0.69
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 15 | Experience: 0.7
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 16 | Experience: 0.71
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 17 | Experience: 0.72
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 18 | Experience: 0.73
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 19 | Experience: 0.75
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 20 | Experience: 0.76
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 21 | Experience: 0.77
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 22 | Experience: 0.78
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 23 | Experience: 0.79
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 24 | Experience: 0.8
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 25 | Experience: 0.81
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 26 | Experience: 0.82
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 27 | Experience: 0.83
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 28 | Experience: 0.84
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 29 | Experience: 0.85
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 3 | Clone: 30 | Experience: 0.86
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 0 | Experience: 0.54
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 1 | Experience: 0.56
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 2 | Experience: 0.57
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 3 | Experience: 0.58
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 4 | Experience: 0.59
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 5 | Experience: 0.6
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 6 | Experience: 0.61
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 7 | Experience: 0.62
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 8 | Experience: 0.63
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 9 | Experience: 0.64
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 10 | Experience: 0.65
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 11 | Experience: 0.66
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 12 | Experience: 0.67
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 13 | Experience: 0.68
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 14 | Experience: 0.69
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 15 | Experience: 0.7
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 16 | Experience: 0.72
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 17 | Experience: 0.73
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 18 | Experience: 0.74
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 19 | Experience: 0.75
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 20 | Experience: 0.76
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 21 | Experience: 0.77
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 22 | Experience: 0.78
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 23 | Experience: 0.79
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 24 | Experience: 0.8
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 25 | Experience: 0.81
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 26 | Experience: 0.82
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 27 | Experience: 0.83
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 28 | Experience: 0.84
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 29 | Experience: 0.85
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 4 | Clone: 30 | Experience: 0.87
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 0 | Experience: 0.55
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 1 | Experience: 0.56
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 2 | Experience: 0.57
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 3 | Experience: 0.58
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 4 | Experience: 0.59
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 5 | Experience: 0.6
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 6 | Experience: 0.61
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 7 | Experience: 0.62
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 8 | Experience: 0.63
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 9 | Experience: 0.64
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 10 | Experience: 0.65
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 11 | Experience: 0.66
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 12 | Experience: 0.68
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 13 | Experience: 0.69
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 14 | Experience: 0.7
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 15 | Experience: 0.71
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 16 | Experience: 0.72
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 17 | Experience: 0.73
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 18 | Experience: 0.74
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 19 | Experience: 0.75
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 20 | Experience: 0.76
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 21 | Experience: 0.77
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 22 | Experience: 0.78
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 23 | Experience: 0.79
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 24 | Experience: 0.8
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 25 | Experience: 0.81
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 26 | Experience: 0.82
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 27 | Experience: 0.84
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 28 | Experience: 0.85
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 29 | Experience: 0.86
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 5 | Clone: 30 | Experience: 0.87
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 0 | Experience: 0.55
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 1 | Experience: 0.56
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 2 | Experience: 0.57
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 3 | Experience: 0.58
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 4 | Experience: 0.59
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 5 | Experience: 0.6
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 6 | Experience: 0.61
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 7 | Experience: 0.62
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 8 | Experience: 0.63
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 9 | Experience: 0.65
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 10 | Experience: 0.66
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 11 | Experience: 0.67
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 12 | Experience: 0.68
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 13 | Experience: 0.69
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 14 | Experience: 0.7
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 15 | Experience: 0.71
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 16 | Experience: 0.72
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 17 | Experience: 0.73
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 18 | Experience: 0.74
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 19 | Experience: 0.75
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 20 | Experience: 0.76
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 21 | Experience: 0.77
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 22 | Experience: 0.78
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 23 | Experience: 0.8
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 24 | Experience: 0.81
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 25 | Experience: 0.82
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 26 | Experience: 0.83
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 27 | Experience: 0.84
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 28 | Experience: 0.85
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 29 | Experience: 0.86
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 6 | Clone: 30 | Experience: 0.87
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 0 | Experience: 0.55
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 1 | Experience: 0.56
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 2 | Experience: 0.57
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 3 | Experience: 0.58
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 4 | Experience: 0.59
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 5 | Experience: 0.6
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 6 | Experience: 0.61
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 7 | Experience: 0.63
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 8 | Experience: 0.64
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 9 | Experience: 0.65
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 10 | Experience: 0.66
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 11 | Experience: 0.67
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 12 | Experience: 0.68
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 13 | Experience: 0.69
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 14 | Experience: 0.7
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 15 | Experience: 0.71
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 16 | Experience: 0.72
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 17 | Experience: 0.73
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 18 | Experience: 0.74
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 19 | Experience: 0.75
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 20 | Experience: 0.77
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 21 | Experience: 0.78
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 22 | Experience: 0.79
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 23 | Experience: 0.8
Hatch: LEVEL3 | Charge: REGULAR_CHARGE | Species: SAME_SPECIES | Level: 7 | Clone: 24 | Experience: 0.81
